league,team_name,team_id,team_abbrev,player_id,lineup_slot,year,update_time
RULE,Team Anthony,1,ANTH,4361579,RB,2023,20231025.221218
RULE,Team Anthony,1,ANTH,3929630,RB,2023,20231025.221218
RULE,Team Anthony,1,ANTH,3139477,QB,2023,20231025.221218
RULE,Team Anthony,1,ANTH,4429205,WR,2023,20231025.221218
RULE,Team Anthony,1,ANTH,2576925,TE,2023,20231025.221218
RULE,Team Anthony,1,ANTH,16737,WR,2023,20231025.221218
RULE,Team Anthony,1,ANTH,3122840,B,2023,20231025.221218
RULE,Team Anthony,1,ANTH,2976316,B,2023,20231025.221218
RULE,Team Anthony,1,ANTH,15683,K,2023,20231025.221218
RULE,Team Anthony,1,ANTH,4361432,B,2023,20231025.221218
RULE,Team Anthony,1,ANTH,4372019,B,2023,20231025.221218
RULE,Team Anthony,1,ANTH,4429160,IR,2023,20231025.221218
RULE,Team Anthony,1,ANTH,3916566,B,2023,20231025.221218
RULE,Team Anthony,1,ANTH,4242433,FLEX,2023,20231025.221218
RULE,Team Anthony,1,ANTH,3051926,B,2023,20231025.221218
RULE,Team Anthony,1,ANTH,-16020,D,2023,20231025.221218
RULE,Team Anthony,1,ANTH,4385690,B,2023,20231025.221218
RULE,Team Courtice,2,COUR,3043078,RB,2023,20231025.221218
RULE,Team Courtice,2,COUR,3116385,RB,2023,20231025.221218
RULE,Team Courtice,2,COUR,4047650,WR,2023,20231025.221218
RULE,Team Courtice,2,COUR,4360238,FLEX,2023,20231025.221218
RULE,Team Courtice,2,COUR,15818,WR,2023,20231025.221218
RULE,Team Courtice,2,COUR,3916387,QB,2023,20231025.221218
RULE,Team Courtice,2,COUR,4038941,B,2023,20231025.221218
RULE,Team Courtice,2,COUR,4567048,B,2023,20231025.221218
RULE,Team Courtice,2,COUR,4035538,B,2023,20231025.221218
RULE,Team Courtice,2,COUR,4430878,B,2023,20231025.221218
RULE,Team Courtice,2,COUR,4360294,B,2023,20231025.221218
RULE,Team Courtice,2,COUR,2573401,TE,2023,20231025.221218
RULE,Team Courtice,2,COUR,4372485,B,2023,20231025.221218
RULE,Team Courtice,2,COUR,3116389,B,2023,20231025.221218
RULE,Team Courtice,2,COUR,-16005,D,2023,20231025.221218
RULE,Team Courtice,2,COUR,12460,K,2023,20231025.221218
RULE,Team Ballano,3,BALL,3916148,RB,2023,20231025.221218
RULE,Team Ballano,3,BALL,4361370,WR,2023,20231025.221218
RULE,Team Ballano,3,BALL,4040715,QB,2023,20231025.221218
RULE,Team Ballano,3,BALL,3925357,B,2023,20231025.221218
RULE,Team Ballano,3,BALL,2976499,B,2023,20231025.221218
RULE,Team Ballano,3,BALL,4045163,B,2023,20231025.221218
RULE,Team Ballano,3,BALL,3045147,RB,2023,20231025.221218
RULE,Team Ballano,3,BALL,3915416,FLEX,2023,20231025.221218
RULE,Team Ballano,3,BALL,4360438,WR,2023,20231025.221218
RULE,Team Ballano,3,BALL,4242335,B,2023,20231025.221218
RULE,Team Ballano,3,BALL,3121422,B,2023,20231025.221218
RULE,Team Ballano,3,BALL,4241372,B,2023,20231025.221218
RULE,Team Ballano,3,BALL,3117256,TE,2023,20231025.221218
RULE,Team Ballano,3,BALL,-16002,D,2023,20231025.221218
RULE,Team Ballano,3,BALL,3051909,K,2023,20231025.221218
RULE,Team Ballano,3,BALL,4242355,B,2023,20231025.221218
RULE,Team Parks,4,PARK,4241389,FLEX,2023,20231025.221218
RULE,Team Parks,4,PARK,4372016,WR,2023,20231025.221218
RULE,Team Parks,4,PARK,4569618,B,2023,20231025.221218
RULE,Team Parks,4,PARK,3051876,B,2023,20231025.221218
RULE,Team Parks,4,PARK,4569173,B,2023,20231025.221218
RULE,Team Parks,4,PARK,4429795,RB,2023,20231025.221218
RULE,Team Parks,4,PARK,2577327,B,2023,20231025.221218
RULE,Team Parks,4,PARK,2576414,RB,2023,20231025.221218
RULE,Team Parks,4,PARK,4569987,B,2023,20231025.221218
RULE,Team Parks,4,PARK,4426515,WR,2023,20231025.221218
RULE,Team Parks,4,PARK,4361741,B,2023,20231025.221218
RULE,Team Parks,4,PARK,-16021,D,2023,20231025.221218
RULE,Team Parks,4,PARK,3121023,TE,2023,20231025.221218
RULE,Team Parks,4,PARK,12483,QB,2023,20231025.221218
RULE,Team Parks,4,PARK,4241416,B,2023,20231025.221218
RULE,Team Parks,4,PARK,16339,K,2023,20231025.221218
RULE,The Dak Side,5,WOOT,3116406,WR,2023,20231025.221218
RULE,The Dak Side,5,WOOT,2976212,WR,2023,20231025.221218
RULE,The Dak Side,5,WOOT,4239993,B,2023,20231025.221218
RULE,The Dak Side,5,WOOT,3042519,B,2023,20231025.221218
RULE,The Dak Side,5,WOOT,4248528,B,2023,20231025.221218
RULE,The Dak Side,5,WOOT,4035886,RB,2023,20231025.221218
RULE,The Dak Side,5,WOOT,2577417,QB,2023,20231025.221218
RULE,The Dak Side,5,WOOT,4567156,FLEX,2023,20231025.221218
RULE,The Dak Side,5,WOOT,4429615,B,2023,20231025.221218
RULE,The Dak Side,5,WOOT,2980453,B,2023,20231025.221218
RULE,The Dak Side,5,WOOT,3139925,RB,2023,20231025.221218
RULE,The Dak Side,5,WOOT,4360635,TE,2023,20231025.221218
RULE,The Dak Side,5,WOOT,4258173,B,2023,20231025.221218
RULE,The Dak Side,5,WOOT,4036348,B,2023,20231025.221218
RULE,The Dak Side,5,WOOT,-16009,D,2023,20231025.221218
RULE,The Dak Side,5,WOOT,3917232,K,2023,20231025.221218
RULE,Team Combs Jr,6,COMB,4362628,WR,2023,20231025.221218
RULE,Team Combs Jr,6,COMB,3918298,QB,2023,20231025.221218
RULE,Team Combs Jr,6,COMB,3126486,IR,2023,20231025.221218
RULE,Team Combs Jr,6,COMB,3116365,TE,2023,20231025.221218
RULE,Team Combs Jr,6,COMB,4697815,FLEX,2023,20231025.221218
RULE,Team Combs Jr,6,COMB,3054850,RB,2023,20231025.221218
RULE,Team Combs Jr,6,COMB,3116165,B,2023,20231025.221218
RULE,Team Combs Jr,6,COMB,3932905,WR,2023,20231025.221218
RULE,Team Combs Jr,6,COMB,14880,B,2023,20231025.221218
RULE,Team Combs Jr,6,COMB,4379399,B,2023,20231025.221218
RULE,Team Combs Jr,6,COMB,4360248,B,2023,20231025.221218
RULE,Team Combs Jr,6,COMB,3128429,B,2023,20231025.221218
RULE,Team Combs Jr,6,COMB,-16015,D,2023,20231025.221218
RULE,Team Combs Jr,6,COMB,4360234,B,2023,20231025.221218
RULE,Team Combs Jr,6,COMB,4035676,B,2023,20231025.221218
RULE,Team Combs Jr,6,COMB,4372066,K,2023,20231025.221218
RULE,Team Combs Jr,6,COMB,3125116,RB,2023,20231025.221218
RULE,Sneaky athletic team,7,SAT,15847,TE,2023,20231025.221218
RULE,Sneaky athletic team,7,SAT,3117251,RB,2023,20231025.221218
RULE,Sneaky athletic team,7,SAT,2977187,WR,2023,20231025.221218
RULE,Sneaky athletic team,7,SAT,3915511,B,2023,20231025.221218
RULE,Sneaky athletic team,7,SAT,4035687,WR,2023,20231025.221218
RULE,Sneaky athletic team,7,SAT,4373626,RB,2023,20231025.221218
RULE,Sneaky athletic team,7,SAT,16460,B,2023,20231025.221218
RULE,Sneaky athletic team,7,SAT,3050478,K,2023,20231025.221218
RULE,Sneaky athletic team,7,SAT,-16006,B,2023,20231025.221218
RULE,Sneaky athletic team,7,SAT,-16028,D,2023,20231025.221218
RULE,Sneaky athletic team,7,SAT,4430027,FLEX,2023,20231025.221218
RULE,Sneaky athletic team,7,SAT,3118892,B,2023,20231025.221218
RULE,Sneaky athletic team,7,SAT,4360078,B,2023,20231025.221218
RULE,Sneaky athletic team,7,SAT,3046779,QB,2023,20231025.221218
RULE,Sneaky athletic team,7,SAT,3123075,B,2023,20231025.221218
RULE,Sneaky athletic team,7,SAT,4258595,B,2023,20231025.221218
RULE,Ruling On The Field,8,RULE,4374302,WR,2023,20231025.221218
RULE,Ruling On The Field,8,RULE,4239996,RB,2023,20231025.221218
RULE,Ruling On The Field,8,RULE,4047365,B,2023,20231025.221218
RULE,Ruling On The Field,8,RULE,4427366,RB,2023,20231025.221218
RULE,Ruling On The Field,8,RULE,4241478,WR,2023,20231025.221218
RULE,Ruling On The Field,8,RULE,3040151,TE,2023,20231025.221218
RULE,Ruling On The Field,8,RULE,4360310,B,2023,20231025.221218
RULE,Ruling On The Field,8,RULE,4430737,IR,2023,20231025.221218
